#"Status","Id","Parent","LatinName","UsEnglish","Translation","Synonyms"
"N","261019","0","nervus olfactorius [I]","olfactory nerve [I]","",""
"N","261024","0","fila olfactoria","olfactory nerves","",""
"N","261035","0","nervus opticus [II]","optic nerve [II]","",""
"N","261043","0","nervus oculomotorius [III]","oculomotor nerve [III]","",""
"N","261056","0","r. superior","superior branch","",""
"N","261062","0","r. inferior","inferior branch","",""
"N","261070","0","ramus ganglionaris ciliaris n. oculomotorii","branch of oculomotor nerve to ciliary ganglion","",""
"N","261081","0","nervus trochlearis [IV]","trochlear nerve [IV]","",""
"N","261097","0","nervus trigeminus [V]","trigeminal nerve [V]","",""
"N","261100","0","radix sensoria","sensory root","",""
"N","261113","0","ganglion trigeminale","trigeminal ganglion","",""
"N","261121","0","radix motoria","motor root","",""
"N","261137","0","nervus ophthalmicus [Va; V1]","ophthalmic nerve","",""
"N","261145","0","r. meningeus recurrens","tentorial nerve","",""
"N","261159","0","n. lacrimalis","lacrimal nerve","",""
"N","261168","0","r. communicans zygomaticus","communicating branch with zygomatic nerve","",""
"N","261176","0","n. frontalis","frontal nerve","",""
"N","261184","0","n. supraorbitalis","supra-orbital nerve","",""
