#"Status","Id","Parent","LatinName","UsEnglish","Translation","Synonyms"
"N","264760","0","n. cutaneus dorsalis lateralis","lateral dorsal cutaneous nerve","",""
"N","264771","0","rr. calcanei laterales","lateral calcaneal branches","",""
"N","264783","0","rr. calcanei mediales","medial calcaneal branches","",""
"N","264794","0","n. plantaris medialis","medial plantar nerve","",""
"N","264806","0","nn. digitales plantares communes","common plantar digital nerves","",""
"N","264811","0","nn. digitales plantares proprii","proper plantar digital nerves","",""
"N","264822","0","n. plantaris lateralis","lateral plantar nerve","",""
"N","264833","0","r. superficialis","superficial branch","",""
"N","264840","0","nn. digitales plantares communes","common plantar digital nerves","",""
"N","264854","0","nn. digitales plantares proprii","proper plantar digital nerves","",""
"N","264865","0","r. profundus","deep branch","",""
"N","264879","0","divisio autonomica","autonomic division","",""
"N","264887","0","pars sympathica","sympathetic part","",""
"N","264898","0","truncus sympathicus","sympathetic trunk","",""
"N","264904","0","ganglion trunci sympathici","ganglion of sympathetic trunk","",""
"N","264912","0","rr. interganglionares","interganglionic branches","",""
"N","264920","0","rr. communicantes","rami communicantes","",""
"N","264936","0","r. communicans griseus","grey ramus communicans","",""
"N","264948","0","r. communicans albus","white ramus communicans","",""
"N","264957","0","ganglia intermedia","intermediate ganglia","",""
"N","264961","0","ganglion cervicale superius","superior cervical ganglion","",""
"N","264973","0","n. jugularis","jugular nerve","",""
"N","264985","0","n. caroticus internus","internal carotid nerve","",""
"N","264999","0","n. pinealis","pineal nerve","",""
"N","265005","0","nn. carotici externi","external carotid nerves","",""
"N","265018","0","rr. laryngopharyngei","laryngopharyngeal branches","",""
"N","265026","0","n. cardiacus cervicalis superior","superior cervical cardiac nerve","",""
"N","265039","0","ganglion cervicale medium","middle cervical ganglion","",""
"N","265047","0","ganglion vertebrale","vertebral ganglion","",""
"N","265052","0","n. cardiacus cervicalis medius","middle cervical cardiac nerve","",""
"N","265060","0","ganglion cervicale inferius","inferior cervical ganglion","",""
"N","265071","0","ganglion cervicothoracicum","cervicothoracic ganglion","",""
"N","265083","0","ansa subclavia","ansa subclavia","",""
"N","265094","0","n. cardiacus cervicalis inferior","inferior cervical cardiac nerve","",""
"N","265107","0","n. vertebralis","vertebral nerve","",""
"N","265110","0","ganglia thoracica","thoracic ganglia","",""
"N","265129","0","rr. cardiaci thoracici","thoracic cardiac branches","",""
"N","265132","0","rr. pulmonales thoracici","thoracic pulmonary branches","",""
"N","265141","0","rr. oesophageales","oesophageal branches","",""
"N","265155","0","n. splanchnicus major","greater splanchnic nerve","",""
"N","265164","0","ganglion thoracicum splanchnicum","thoracic splanchnic ganglion","",""
"N","265178","0","n. splanchnicus minor","lesser splanchnic nerve","",""
"N","265186","0","r. renalis","renal branch","",""
"N","265193","0","n. splanchnicus imus","least splanchnic nerve","",""
"N","265204","0","ganglia lumbalia","lumbar ganglia","",""
"N","265212","0","nn. splanchnici lumbales","lumbar splanchnic nerves","",""
"N","265220","0","ganglia sacralia","sacral ganglia","",""
"N","265236","0","nn. splanchnici sacrales","sacral splanchnic nerves","",""
"N","265248","0","ganglion impar","ganglion impar","",""
"N","265257","0","paraganglia sympathica","sympathetic paraganglia","",""
"N","265261","0","pars parasympathica","parasympathetic part","",""
"N","265273","0","pars cranialis","cranial part","",""
"N","265285","0","ganglion ciliare","ciliary ganglion","",""
"N","265299","0","radix sympathica ganglii ciliaris","sympathetic root of ciliary ganglion","",""
"N","265301","0","nn. ciliares breves","short ciliary nerves","",""
"N","265317","0","ganglion pterygopalatinum","pterygopalatine ganglion","",""
"N","265325","0","n. canalis pterygoidei","nerve of pterygoid canal","",""
"N","265330","0","radix sympathica ganglii pterygopalatini","sympathetic root of pterygopalatine ganglion","",""
"N","265349","0","ganglion submandibulare","submandibular ganglion","",""
"N","265358","0","radix sympathica ganglii submandibularis","sympathetic root of submandibular ganglion","",""
"N","265363","0","ganglion sublinguale","sublingual ganglion","",""
"N","265374","0","radix parasympathica","parasympathetic root","",""
"N","265382","0","radix sympathica","sympathetic root","",""
"N","265396","0","ganglion oticum","otic ganglion","",""
